City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san patricio,28.017,-97.5169,11.92,49,95,7.53,-97.5169,-97.5169
1,newnham,-41.3833,147.1333,5.53,75,72,0.0,147.1333,147.1333
2,tiksi,71.6872,128.8694,-16.71,98,100,4.37,128.8694,128.8694
3,walvis bay,-22.9575,14.5053,17.27,73,18,3.55,14.5053,14.5053
4,st. john's,47.5649,-52.7093,3.97,89,97,1.79,-52.7093,-52.7093
5,thompson,55.7435,-97.8558,-4.57,59,99,4.7,-97.8558,-97.8558
6,punta arenas,-53.15,-70.9167,8.95,45,62,2.04,-70.9167,-70.9167
7,port-aux-francais,-49.35,70.2167,3.96,92,100,15.09,70.2167,70.2167
8,prince rupert,54.3161,-130.3201,6.25,54,100,2.4,-130.3201,-130.3201
9,thunder bay,48.4001,-89.3168,-0.1,41,24,4.27,-89.3168,-89.3168
10,itaocara,-21.6692,-42.0761,30.53,66,94,2.14,-42.0761,-42.0761
11,olinda,-8.0089,-34.8553,28.85,58,40,5.14,-34.8553,-34.8553
12,talnakh,69.4865,88.3972,-14.33,99,98,2.42,88.3972,88.3972
13,la'ie,21.6477,-157.9253,23.36,85,0,0.66,-157.9253,-157.9253
14,beylikova,39.6869,31.2056,19.62,42,56,2.43,31.2056,31.2056
15,wailua homesteads,22.0669,-159.378,21.44,84,20,2.57,-159.378,-159.378
16,kapuskasing,49.4169,-82.4331,-1.98,54,95,3.23,-82.4331,-82.4331
17,puerto natales,-51.7236,-72.4875,9.25,40,0,5.66,-72.4875,-72.4875
18,tolanaro,-25.0319,46.9987,21.06,91,100,4.52,46.9987,46.9987
19,aitape,-3.1374,142.3475,25.1,90,49,1.72,142.3475,142.3475
20,vilyuchinsk,52.9306,158.4028,1.63,77,66,2.27,158.4028,158.4028
21,hawaiian paradise park,19.5933,-154.9731,22.8,96,100,3.09,-154.9731,-154.9731
22,la passe,45.5549,-0.8967,16.13,80,28,4.67,-0.8967,-0.8967
23,ribeira grande,38.5167,-28.7,20.43,68,75,5.66,-28.7,-28.7
24,novo cruzeiro,-17.4681,-41.8753,22.91,70,100,2.18,-41.8753,-41.8753
25,margaret river,-33.95,115.0667,12.14,89,0,5.27,115.0667,115.0667
26,adamstown,-25.066,-130.1015,22.45,73,55,4.87,-130.1015,-130.1015
27,georgetown,5.4112,100.3354,27.96,89,20,0.0,100.3354,100.3354
28,sirte,31.2089,16.5887,25.29,57,2,5.26,16.5887,16.5887
29,lebu,-37.6167,-73.65,11.51,57,38,6.48,-73.65,-73.65
30,hasaki,35.7333,140.8333,14.22,74,76,1.46,140.8333,140.8333
31,blackmans bay,-43.0167,147.3167,8.07,80,61,0.45,147.3167,147.3167
32,hutchinson island south,27.2995,-80.2205,30.61,69,40,3.09,-80.2205,-80.2205
33,gaspe,48.8334,-64.4819,3.64,62,74,4.07,-64.4819,-64.4819
34,ouallam,14.3188,2.0866,35.54,8,100,3.93,2.0866,2.0866
35,qandala,11.472,49.8728,26.68,78,40,3.92,49.8728,49.8728
36,moriki,12.8741,6.4875,31.99,17,93,2.73,6.4875,6.4875
37,toliara,-23.35,43.6667,25.01,68,61,9.1,43.6667,43.6667
38,bamboo flat,11.7,92.7167,27.82,81,100,3.73,92.7167,92.7167
39,ibiza,38.9088,1.433,19.56,64,0,1.03,1.433,1.433
40,whitehorse,60.7161,-135.0538,1.01,98,100,0.89,-135.0538,-135.0538
41,aurillac,44.9167,2.45,10.49,89,75,2.06,2.45,2.45
42,hithadhoo,-0.6,73.0833,27.39,79,77,5.35,73.0833,73.0833
43,grytviken,-54.2811,-36.5092,2.04,91,82,1.27,-36.5092,-36.5092
44,puerto ayora,-0.7393,-90.3518,27.98,90,88,2.24,-90.3518,-90.3518
45,la ronge,55.1001,-105.2842,-2.7,83,99,4.11,-105.2842,-105.2842
46,atafu village,-8.5421,-172.5159,28.47,75,99,7.3,-172.5159,-172.5159
47,shizuishan,39.2333,106.7694,13.62,25,2,0.46,106.7694,106.7694
48,ust-nera,64.5667,143.2,-17.64,100,100,2.49,143.2,143.2
49,tual,-5.6667,132.75,25.59,90,100,5.64,132.75,132.75
50,kill devil hills,36.0307,-75.676,16.1,71,100,6.69,-75.676,-75.676
51,west island,-12.1568,96.8225,25.99,83,100,7.2,96.8225,96.8225
52,burnie,-41.0667,145.9167,8.86,69,54,4.05,145.9167,145.9167
53,iqaluit,63.7506,-68.5145,-9.15,78,100,10.8,-68.5145,-68.5145
54,okha,53.5739,142.9478,-0.79,71,83,2.01,142.9478,142.9478
55,malango,-2.9627,119.9001,19.43,88,40,1.01,119.9001,119.9001
56,coruripe,-10.1256,-36.1756,28.45,59,33,6.73,-36.1756,-36.1756
57,papatowai,-46.5619,169.4708,8.86,93,96,1.0,169.4708,169.4708
58,nova sintra,14.8667,-24.7167,24.0,75,95,3.81,-24.7167,-24.7167
59,colonia,50.9333,6.95,12.76,83,75,2.57,6.95,6.95
60,fort bragg,35.139,-79.006,13.08,71,100,4.63,-79.006,-79.006
61,kolosovka,56.4678,73.611,-8.28,94,36,2.19,73.611,73.611
62,el nido,11.1858,119.3956,27.77,76,100,2.41,119.3956,119.3956
63,port mathurin,-19.6833,63.4167,25.07,81,4,6.75,63.4167,63.4167
64,bethel,41.3712,-73.414,10.86,53,0,2.57,-73.414,-73.414
65,ushuaia,-54.8,-68.3,8.81,56,40,11.83,-68.3,-68.3
66,polyarnyy,69.1989,33.4478,-1.01,84,98,3.1,33.4478,33.4478
67,ust'-ilimsk,58.0006,102.6619,-13.64,67,0,1.79,102.6619,102.6619
68,alaghsas,17.0187,8.0168,31.74,10,97,5.14,8.0168,8.0168
69,korla,41.7597,86.1469,13.89,37,93,1.82,86.1469,86.1469
70,bilibino,68.0546,166.4372,-16.48,89,90,2.14,166.4372,166.4372
71,stanley,54.868,-1.6985,6.77,86,75,1.03,-1.6985,-1.6985
72,yerofey pavlovich,53.9667,121.9667,-8.55,51,92,0.39,121.9667,121.9667
